,video_id,video_title,upload_date,view_count,like_count,comment_count
0,LnlKwzc_TNA,"Would You Swim With Sharks For $100,000?",2022-03-19,34324152,1802711,76301
1,3jS_yEK8qVI,World’s Most Dangerous Escape Room!,2022-01-29,78896448,3147857,134959
2,00NgUctWoLQ,"Extreme $1,000,000 Hide And Seek",2021-12-18,60539859,2935652,134926
3,x9TQ6culXIA,"$1,000,000 Influencer Tournament!",2021-12-16,48751700,2642824,90188
4,QbJJwaVdgIs,I Got Hunted By The Military,2021-12-10,61501161,2728829,94601
5,0e3GPea1Tyg,"$456,000 Squid Game In Real Life!",2021-11-24,236516005,13418605,603158
6,cV2gBU6hKfY,I Cleaned The World’s Dirtiest Beach #TeamSeas,2021-10-29,58866577,4317976,179203
7,qIsgdOVGA04,"Last To Take Hand Off Lamborghini, Keeps It",2021-10-23,69242685,2971203,121618
8,cExLQ1o2pDw,"First To Rob Bank Wins $100,000",2021-09-26,63817375,2577562,122000
9,uocETPj4Jx4,"Extreme $500,000 Game Of Tag!",2021-09-04,66649292,2930076,100027
10,zxYjTTXc-J8,"Last To Leave Circle Wins $500,000",2021-08-31,127291620,3894137,101272
11,hxwpkM5w3Cc,I Got Hunted By The FBI,2021-08-07,84076662,2740756,90192
12,ktyJIj6i4Qw,"If You Can Carry $1,000,000 You Keep It!",2021-07-24,70596249,2184459,70713
13,urtFrxDUV6c,"Would YOU Quit School For $100,000?",2021-07-10,63866471,2141450,79982
14,nM89Wl03Q4g,I Survived 50 Hours In A Maximum Security Prison,2021-06-26,96667549,2407934,96796
15,NZlClr_ivb4,"Hit The Target, Win $300,000",2021-06-12,89846812,2569196,85255
16,E6E22XQPhhg,Anything You Can Fit In The Triangle I’ll Pay For,2021-06-01,73995376,2305912,87091
17,TQHEJj68Jew,I Got Hunted By A Real Bounty Hunter,2021-04-24,91980624,2970130,126566
18,WcwGleN38zE,"Extreme $100,000 Game of Tag!",2021-04-17,93461855,2545215,119204
19,fMfipiV_17o,"Would You Sit In Snakes For $10,000?",2021-04-10,130905096,3479434,135811
